TCGA-2H-A9GJ-01A-11R-A37I-31	TCGA-IC-A6RF-01A-13R-A336-31	TCGA-IG-A5B8-01A-11R-A28J-31	TCGA-JY-A6F8-01A-11R-A336-31	TCGA-JY-A6FB-01A-11R-A336-31	TCGA-JY-A93F-01A-21R-A37I-31	TCGA-KH-A6WC-01A-11R-A336-31	TCGA-L5-A43E-01A-11R-A24K-31	TCGA-L5-A4OG-01A-11R-A260-31	TCGA-L5-A4OH-01A-11R-A260-31	TCGA-L5-A4OJ-01A-11R-A260-31	TCGA-L5-A4OM-01A-11R-A260-31	TCGA-L5-A4OP-01A-11R-A260-31	TCGA-L5-A4OR-01A-11R-A260-31	TCGA-L5-A88S-01A-11R-A36D-31	TCGA-L5-A893-01A-11R-A36D-31	TCGA-L5-A8NW-01A-11R-A37I-31	TCGA-S8-A6BW-01A-11R-A31P-31	TCGA-V5-A7RE-01A-11R-A354-31
HGSNAT|138050	59.593	20.8081	23.3961	23.4659	17.0894	26.5672	15.3909	29.7748	13.4145	22.6428	19.7615	37.7754	39.9327	28.2047	25.873	17.0553	22.4756	100.7219	11.3205
HGS|9146	62.68	86.4975	82.1903	61.2323	47.7001	38.7041	35.2619	49.2592	34.788	40.9471	25.8319	57.6297	50.9575	41.2469	57.4805	41.088	30.7726	44.7204	38.2491
HHATL|57467	0	0	0.08	0.0111	0	0.0086	0	0.0214	0	0	0	0.009	0.095	0	0.0241	0.002	0.0099	0	0
HHAT|55733	0.6425	2.9883	0.5331	0.1124	2.6863	0.051	0.7386	1.7193	0.7357	1.1944	0.2036	3.3987	1.22	1.6702	0.6942	1.3463	1.0645	3.5667	0.8714
HHEX|3087	11.729	2.2421	0.813	2.3689	5.0535	0.4101	0.9695	3.9972	9.1918	2.0961	3.7549	1.805	4.0509	4.7259	4.8275	3.0614	7.106	6.1832	37.1937
HHIPL1|84439	0.6244	0.1724	0.3669	0.068	0.271	0.1052	0.2924	0.1707	0.168	0.6308	0.2391	0.6023	0.4321	0.4145	3.8441	0.4283	0.3553	3.1606	0.1112
HHIPL2|79802	0.1826	0.0154	0.0294	0.0175	0.0196	0.01	0	0.051	0.0515	0.1396	0.0139	0.0681	0.1467	0.0374	0.0705	0.0657	0.2738	0	0.0751
HHIP|64399	1.3163	0.0035	0.0182	0.1926	0.0517	0.0072	0.0074	0.3386	0.0185	0.1283	0.3455	0.0638	0.2499	0.4283	0	1.2604	0.1825	0.4501	0.0251
HHLA1|10086	0	0	0	0	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	1e-04
HHLA2|11148	7.9276	0.0991	0.0297	2.413	7.0946	0.0552	0	11.6388	5.9022	40.7235	30.7419	0.049	28.2512	14.1248	0	17.2214	0.5885	0.4972	12.5993
HHLA3|11147	3.5621	0.9162	13.2752	2.0299	2.6034	2.4625	5.3597	6.6966	1.8107	4.7044	4.1825	4.8406	12.4955	2.9177	7.6559	7.6131	2.2854	2.954	0.9347
HIAT1|64645	17.5713	19.4293	12.7125	20.5955	18.0812	21.3709	14.8691	23.5962	13.9092	17.6832	20.2115	38.5046	36.8376	26.4586	28.7945	22.7871	19.0493	22.5857	25.7741
HIATL1|84641	26.6082	26.6973	25.4234	22.4243	36.4954	33.4547	24.4654	27.1291	30.311	28.786	23.6078	26.7277	29.1333	30.5907	13.1839	26.8098	30.5425	47.6445	36.5495
HIATL2|84278	3.5868	4.6652	1.3006	3.5265	3.441	3.4696	2.8201	3.0343	4.0292	4.8752	2.7437	4.0151	4.0265	3.6833	2.416	5.6629	3.5183	3.3796	3.7539
HIBADH|11112	10.7784	4.2339	5.2944	19.2339	14.5473	2.5777	1.6053	22.4055	12.2794	22.5036	10.0024	3.6831	10.6873	23.5979	5.7242	6.9617	5.8773	5.2881	12.9755
HIBCH|26275	15.6179	7.2787	8.9361	21.2057	11.1719	11.2006	16.8627	9.4691	7.7128	12.0675	23.9492	8.2033	10.8563	10.708	15.4733	10.1821	14.5096	8.2272	12.828
HIC1|3090	1.0007	3.1921	0.6126	0.8428	2.6045	2.0905	0.4847	0.6853	2.7321	1.6686	1.052	1.0177	1.5802	4.3792	8.2833	3.3822	2.9477	5.2836	0.704
HIC2|23119	2.0429	1.8431	0.4039	0.941	2.5536	4.0915	1.7596	2.3273	1.9121	3.1819	2.6526	2.4099	2.2037	2.5675	1.068	2.1825	1.5995	1.4432	1.6662
HIF1AN|55662	8.6099	8.5419	5.7404	6.8407	7.9739	6.5179	6.6133	6.7639	5.9906	5.712	8.4995	10.5274	8.254	6.0697	8.1456	7.296	5.5327	6.3728	8.0327
HIF1A|3091	60.3871	86.1392	165.8164	24.0502	50.9035	191.8951	79.1993	103.328	85.7425	40.779	64.0455	82.4712	98.9694	83.4117	118.0853	52.8143	72.9851	100.0485	61.2516
HIF3A|64344	27.0713	0.892	0.0285	0.2733	0.1057	0.3012	0.4496	0.5256	0.0591	0.4378	0.5673	0.8265	0.1895	0.1304	3.7006	0.3931	0.3115	0.0665	0.1925
HIGD1A|25994	34.4262	88.1943	32.0827	60.5539	24.9872	40.2921	49.7612	29.1821	36.4787	33.0622	37.7703	15.9244	21.2483	53.6087	30.3512	53.2865	39.1162	21.5139	44.6396
HIGD1B|51751	1.2479	0.953	0.6132	0.7967	1.5452	0.8704	0.8107	0.8696	0.5667	0.5897	0.6244	1.1939	1.6537	1.3105	1.6523	0.8614	1.0203	1.6	1.8168
HIGD1C|613227	0.0451	0.0457	0.0312	0.0383	0.0387	0.0318	0.0141	0.1875	0.1048	0.0152	0	0.1731	0.1242	0.0965	0.0577	0.0632	0.1435	0.0422	0.0732
HIGD2A|192286	67.3405	73.557	109.4736	135.2847	75.4012	89.7521	46.135	66.8989	63.5065	56.6159	71.4167	36.8003	118.3996	56.138	115.4479	128.8389	51.3702	52.6582	190.2959
HIGD2B|123346	0	0.0119	0.0829	0.0101	0.0128	0	0	0.0306	0.0103	0	0.0128	0.0324	0.0856	0.016	0	0.0357	0	0.0148	0
HILS1|373861	0	0.0296	0.0168	0	0.0159	0.019	0.0208	0.0095	0	0.0019	0.0104	0.056	0	0.0117	0.2044	0.0103	0	0.0122	0.0023
HINFP|25988	2.6572	3.334	1.9742	4.4829	3.0722	2.1705	2.2162	3.6061	4.1789	6.7633	4.2757	2.491	2.8767	3.5753	2.885	3.1778	2.8624	1.4294	4.7662
HINT1|3094	88.7093	133.3075	161.8875	173.6453	76.558	171.3194	82.6296	61.5184	81.9597	76.573	84.6647	60.1774	57.9521	55.6106	169.4614	136.0944	89.0188	100.9473	171.3416
HINT2|84681	12.6834	1.381	21.7269	29.3177	19.4135	0.3669	9.1096	13.9542	13.6052	6.1555	14.2049	6.9319	9.0628	20.1374	12.4814	20.4854	10.6364	92.0034	17.7977
HINT3|135114	9.8119	7.1766	5.3892	10.5795	15.6311	6.7957	9.0312	14.2752	14.7831	9.9297	13.4514	10.9039	12.9739	11.3699	5.9215	8.703	9.7904	5.5229	6.9103
HIP1R|9026	11.1674	20.1422	8.256	9.1236	59.8599	15.307	7.5574	13.9206	20.2892	10.4306	18.5551	15.442	7.9874	19.9591	6.3424	14.0971	12.0048	2.5652	24.8276
HIP1|3092	3.0795	4.9748	1.9007	2.7287	4.8462	0.8439	1.4081	1.0519	4.7553	9.389	2.2425	10.2673	6.1094	6.4343	9.9118	5.004	5.178	14.9009	3.7462
HIPK1|204851	34.5466	10.9582	4.1228	12.7711	16.4333	12.1354	13.9128	23.4168	9.8519	10.7674	14.0326	19.9075	24.1171	22.0426	10.9663	15.9921	18.8333	7.61	16.5133
HIPK2|28996	15.7863	11.7594	1.9346	6.242	12.9807	10.0645	16.9584	16.4267	17.5049	12.5818	17.8196	7.7545	5.612	17.7422	6.2744	13.0878	11.8002	9.3996	8.1972
HIPK3|10114	24.6022	22.6469	9.8552	18.6379	15.0509	12.4103	21.0622	14.7717	16.465	21.0391	13.0087	26.3574	12.1036	25.3196	22.2779	16.6143	36.05	21.8834	7.6727
HIPK4|147746	0.0628	0.0657	0.0525	0.023	0.0962	0.0349	0.0359	0.0314	0.0487	0.0568	0.0845	0.0399	0.0238	0.0806	0.0425	0.0257	0.0411	0.0401	0.018
HIRA|7290	16.9703	13.4131	2.2673	14.3977	15.5067	11.8143	5.755	23.8162	9.5396	16.5005	17.6544	12.1982	9.5405	6.0202	9.5521	12.6559	9.4176	8.2093	12.6625
HIRIP3|8479	5.7546	4.4084	8.25	5.0822	4.7696	3.762	2.1658	3.3661	3.0673	2.9758	5.6919	6.1035	5.8172	3.4959	5.0878	3.9586	2.7728	4.2389	11.88
HIST1H1A|3024	0.0379	0	0.0501	0	0	0.154	0	0.0438	0.0296	0	0.0365	0.1154	0.0176	0.0404	0	0	0.0864	0	0.1392
HIST1H1B|3009	0.3005	0.0503	0.6323	0.5132	0.4439	0.3476	0.0313	0.0866	0.3877	0.2275	0.2538	0.1904	0.177	0.4023	0.2132	0.5152	0.0854	0.2915	0.321
HIST1H1C|3006	66.3321	8.1461	103.1462	5.8446	33.4443	27.0418	28.5546	11.2121	51.7855	8.2529	136.6691	29.7859	6.1992	45.6168	8.7303	38.784	15.9206	33.2736	207.9481
HIST1H1D|3007	1.0575	0.0511	1.7658	0.431	0.5125	0.4878	0.1424	0.2716	0.6091	0.221	1.4272	0.551	0.1104	1.0101	0.5088	0.4309	0.3474	0.0566	0.693
HIST1H1E|3008	0.9426	0.1434	2.6278	3.5713	2.2477	3.3828	0.4909	0.2396	1.0745	0.8288	0.9211	1.094	0.1533	1.6302	1.0886	1.9323	0.6017	0.8476	1.4413
HIST1H1T|3010	0.0204	0.0183	0.1202	0	0	0	0.0171	0	0.0319	0	0.0296	0.0984	0.0379	0.0508	0	0.0665	0.0135	0.0152	0.08
HIST1H2AA|221613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AB|8335	0	0.0533	0.0317	0.0354	0.0278	0.0693	0	0.0717	0.1507	0.026	0.0991	0.165	0	0.0768	0	0.2008	0.0566	0.0115	0.3468
HIST1H2AC|8334	27.5224	2.9287	29.5212	6.0843	15.3227	22.0396	42.1198	14.4022	16.8403	5.445	70.1212	14.6248	10.3105	33.5822	8.3851	18.7448	18.9853	10.3812	53.9055
HIST1H2AD|3013	1.1035	0.1278	5.5246	0.385	0.4113	2.4697	4.8677	0.6223	1.6161	0.1556	2.17	1.1941	0.2634	0.8698	0.5609	1.2512	0.8689	0.7608	2.8103
HIST1H2AE|3012	1.5488	0.7054	22.6753	1.1481	2.4997	6.5858	2.5387	2.7762	1.8907	0.6334	4.9661	2.4788	0.6353	3.4106	2.522	2.8604	1.0256	3.7557	5.4263
HIST1H2AG|8969	0.7486	0.1904	2.3001	0.4836	1.1917	0.4684	0.5774	0.3294	0.511	0.3859	1.4964	1.6967	0.3016	0.8325	0.3381	1.357	0.4454	1.292	1.675
HIST1H2AH|85235	0.0843	0.0747	0.2069	0.3576	0.0952	0.313	0.0846	0.0442	0.1549	0.0423	0.2252	0.2007	0.0946	0.282	0.0295	0.3816	0.0596	0.1846	0.3534
HIST1H2AJ|8331	0.1651	0.1036	0.4663	0.3552	0.6134	1.2341	0.0564	0.2165	0.5264	0.1141	0.2952	0.5064	0	0.2714	0.3272	0.4988	0.1957	0.0627	2.2489
HIST1H2AK|8330	0.3283	0.1884	0.2618	0.0946	0.4778	0.1903	0.2987	0.49	0.2367	0.1863	0.784	0.5549	0.1076	0.244	0.0563	0.2797	0.1873	0.0757	0.3434
HIST1H2AL|8332	0.1482	0.2075	0.4117	0.0479	0.5809	0.1827	0.0375	0	0.2109	0.211	0.5157	0.4521	0.0876	0.4101	0.5236	0.4783	0	0.2274	1.4669
HIST1H2AM|8336	1.1651	0.327	2.9643	0.9898	1.014	1.4121	0.6878	0.353	0.3571	0.3563	1.5678	0.8643	0.1286	0.8955	0.7713	1.2079	0.198	0.9356	2.6703
HIST1H2BA|255626	0	0	0	0	0	0.0314	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2BB|3018	0.0275	0	0.1033	0.0589	0.0266	0.1457	0.0057	0	0.1522	0	0	0.0609	0.0247	0.0805	0	0.1879	0.1035	0.0198	0.2039
HIST1H2BC|8347	4.0034	1.5724	13.7216	0.6888	2.1548	3.7966	7.8296	1.1453	4.0798	0.4421	5.1625	3.1887	0.7704	5.4674	1.5353	3.8182	4.3889	9.5006	4.4716
HIST1H2BD|3017	22.6533	3.6155	38.0913	3.5133	10.493	15.4811	12.4577	11.3539	9.2192	3.8166	29.7709	8.99	3.3181	17.1333	3.8165	13.4564	6.5021	18.9176	24.8433
HIST1H2BE|8344	0.607	0.0761	3.5611	0.2207	0.2696	0.0837	0.2806	0.0393	0.2892	0.1244	0.2427	0.2427	0.1736	0.3928	0.4898	0.4337	0.1247	0.0862	0.8349
HIST1H2BF|8343	1.3972	0.4137	6.6661	0.7019	0.6165	2.5062	4.3389	0.4387	0.5129	0.4166	0.729	1.1342	0.1898	1.1993	0.5305	1.0766	0.9987	0.5406	1.7201
HIST1H2BG|8339	2.7603	0.6914	36.9594	0.7497	1.138	10.9918	7.7526	1.6966	2.6998	1.1473	4.3017	3.3932	1.0452	3.414	2.5374	1.6161	1.4042	2.2669	5.6253
HIST1H2BH|8345	2.1377	2.3254	8.9064	1.4599	2.2099	6.9449	1.4167	1.6139	3.4464	2.3384	4.6793	3.9372	1.1835	4.9387	1.612	3.7795	1.2498	0.7264	13.393
HIST1H2BI|8346	0.153	0.0247	0.4208	0.1931	0.1141	0.4786	0.1169	0.2386	0.1539	0.0567	0.0929	0.2112	0	0.2414	0.281	0.0846	0.1235	0.0997	0.4935
HIST1H2BJ|8970	2.1408	0.503	4.4186	0.2656	3.0066	3.1496	1.0573	0.8347	2.888	0.3286	4.6281	2.9822	0.4053	2.8162	1.0948	1.5029	0.7043	1.4575	8.4947
HIST1H2BK|85236	89.3127	24.4432	173.2731	24.5668	102.7321	56.8738	72.7404	53.036	90.814	20.6863	168.5174	56.521	22.292	57.5265	28.8462	64.3385	43.5968	152.779	192.3655
HIST1H2BL|8340	0.1262	0.305	0.5065	0.3107	0.7196	0.455	0.1776	0.2466	0.2111	0.17	0.3692	0.3989	0	0.3578	0.1227	0.5637	0.149	0.1142	1.0103
HIST1H2BM|8342	0.2988	0.2513	1.2757	0.5297	0.4491	1.8532	0.0518	0.1533	0.237	0.1112	0.3242	0.1296	0.091	0.5308	0.754	0.4931	0.1816	0.1591	0.8609
HIST1H2BN|8341	0.6311	0.1822	1.2676	1	1.0163	0.35	0.2009	0.5135	0.4602	0.4859	1.0372	0.6821	0.6054	0.5691	0.2508	0.9548	0.2137	1.0306	1.1134
HIST1H2BO|8348	0.314	0.182	0.217	0.3255	0.4188	0.6937	0.0795	0.1591	0.6773	0.0685	1.1696	0.5356	0.1325	0.2976	0.2774	0.9041	0.0144	0.3346	1.3803
HIST1H3A|8350	0.1485	0.1015	0.2156	0.024	0.1221	0.0916	0.0074	0.0549	0.2627	0.0234	0.1001	0.2073	0.01	0.2199	0.082	0.1887	0.0242	0.0568	0.5264
HIST1H3B|8358	0.1887	0.1122	0.22	0.103	0.3828	0.3852	0.0692	0.0543	0.2992	0.0842	0.3889	0.324	0	0.3157	0.2978	0.4186	0.208	0.1208	0.6142
HIST1H3C|8352	0.2443	0.239	0.4083	0.2331	0.4476	0.5488	0.1309	0.1117	0.6502	0.1906	0.5477	0.3422	0.0867	0.4407	0.3688	0.5833	0.0294	0.0985	1.9725
HIST1H3D|8351	1.426	0.3201	9.4971	0.446	0.6637	3.1651	6.3876	0.7175	1.8981	0.1622	2.8293	1.6381	0.4212	1.1992	0.601	1.4487	1.0467	1.0387	4.0688
HIST1H3E|8353	2.6751	0.5947	1.5621	0.7654	0.9722	0.7344	1.8017	1.0749	0.7184	1.1326	3.5241	1.2559	0.9838	1.6308	0.1171	1.7004	1.149	1.0668	1.0233
HIST1H3F|8968	0.1558	0	0.5529	0.1793	0.1745	0.3577	0.0182	0.1014	0.4064	0.1946	0.2649	0.3573	0	0.1081	0.2532	0.6398	0.1657	0.1363	0.51
HIST1H3G|8355	2.114	0.1191	3.1558	0.4156	1.4336	1.3534	0.1051	0.6224	1.124	0.412	4.5447	1.5847	0.08	1.2634	0.1331	1.1864	0.2215	0.4193	5.5832
HIST1H3H|8357	2.7763	0.2731	2.4632	0.2359	1.0731	0.938	1.3025	0.4912	0.8165	0.2665	2.7708	1.3184	0.2356	0.5563	0.147	1.5951	0.7825	2.3828	2.3871
HIST1H3I|8354	0.0774	0.0278	0.1498	0.4201	0.2204	0.3761	0.026	0.053	0.1806	0.2735	0.1797	0.2321	0.0864	0.2092	0.365	0.3179	0.0424	0.0905	0.3494
HIST1H3J|8356	0.0619	0.0914	0.2843	0.0302	0.1642	0.7146	0.0741	0.0932	0.2743	0.0778	0.3043	0.1108	0.0287	0.2351	0.0033	0.2963	0.1067	0.0515	0.2909
HIST1H4A|8359	0.042	0	0.0407	0.0988	0.1324	0	0	0.1737	0.1554	0.0333	0.1153	0.0352	0.002	0.0849	0.4165	0.3512	0.0936	0	0.2935
HIST1H4B|8366	0.2009	0.2136	0.0212	0.3582	0.4641	0.0459	0	0.1437	0.3003	0.1784	0.1744	0.2399	0.0385	0.4005	0.2057	0.5186	0.258	0.0705	0.4668
HIST1H4C|8364	1.4192	0.9373	0.6512	0.9545	1.6888	0.6824	0.6546	1.1992	0.668	0.9534	2.1835	1.3105	0.8405	1.0234	1.3262	2.7141	1.0169	0.4931	4.2192
HIST1H4D|8360	0.1977	0.0308	0.4787	0.0759	0.1156	0.3002	0.55	0.1069	0.3283	0	0.3968	0.6906	0.041	0.3422	0.0706	0.2201	0.2293	0.1411	0.8792
HIST1H4E|8367	1.2773	0.4735	0.8744	0.9768	1.2726	1.5682	0.5121	0.566	0.7714	0.2342	1.2937	0.795	0.3589	0.9721	0.6195	1.2946	0.3358	0.3567	1.3806
HIST1H4F|8361	0.5449	0	0	0	0.16	0	0	0.0583	0.1198	0.4582	0.2991	0	0.4166	0.1819	0	0.1299	0.1186	0	0.7866
HIST1H4G|8369	0	0	0	0	0	0	0	0	0	0	0.0481	0	0	0	0	0.008	0	0	0
HIST1H4H|8365	9.509	0.647	6.9542	0.7258	2.1243	1.9078	4.8385	2.2287	5.2148	1.3653	9.8798	6.4348	1.4349	6.3222	1.4607	4.702	2.1425	4.6801	11.3782
HIST1H4I|8294	0.2631	0.2768	0.8734	0.3024	0.3708	0.3308	0.2431	0.5037	0.7628	0.1033	1.2405	0.679	0.1267	0.2826	0.4289	0.6166	0.3252	0.4727	1.0818
HIST1H4J|8363	0.3583	0.372	0.6411	0.0633	0.3017	0.902	0.2102	0.1919	0.4721	0.0522	0.4078	0.2877	0.3273	0.4971	0.0011	0.4761	0.0758	0.2333	1.4231
HIST1H4K|8362	0.5376	0.1004	0.2583	0.0159	0.0956	0.1611	0.104	0.2985	0.4008	0.0387	0.1201	0.1813	0.2461	0.1654	0.022	0.3478	0.1062	0.2775	0.8918
HIST1H4L|8368	0.0407	0.1091	0.0416	0.1384	0.1376	0	0	0	0.1746	0	0.0786	0.0794	0.1117	0.1143	0	0.3946	0.0547	0	0.2564
HIST2H2AA3|8337	0	0	0	0	0	0	0	0	0	0	0.0268	0	0	0	0	0	0	0	0
HIST2H2AB|317772	0.175	0.0296	0.3717	0.1449	0.1455	0.0383	0.0984	0.0382	0.2457	0.078	0.016	0.0327	0.0012	0.0917	0.094	0.1233	0.039	0.0207	0.0589
HIST2H2AC|8338	0.8307	1.1037	1.4493	0.4747	1.1377	3.0665	0.4398	0.5307	1.204	0.8022	1.2497	1.3034	1.3223	1.3827	0.5487	1.3888	0.3874	0.3871	4.894
HIST2H2BA|337875	4.5329	0.0958	0.1727	0.0673	0.0278	0	0.2928	0	0.0719	0.0237	0	0.0189	0.0267	0.0204	0.2322	0.1041	0.1226	0.0333	0.0141
HIST2H2BE|8349	26.2938	12.0209	32.3492	1.5324	6.985	11.3185	10.7909	4.9978	10.1148	2.3954	18.8498	11.3821	8.2289	12.464	3.3345	4.229	7.3708	8.9945	16.1122
HIST2H2BF|440689	0.6713	0.3679	1.9106	0.3413	0.2332	1.4912	0.274	0.3587	0.4568	0.1562	1.0691	0.5608	0.4564	0.8289	0.0625	0.2691	0.2944	0.3135	0.77
HIST2H3C|126961	0.0292	0	0	0	0.0282	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST2H3D|653604	0.3546	0	0.1875	0.0129	0.1874	0.1005	0.0503	0.0608	0.1228	0.0991	0.3335	0.0949	0.1341	0.1919	0	0.0644	0.0199	0.0363	0.1048
HIST2H4A|8370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST3H2A|92815	11.8683	19.0874	20.2014	7.0847	15.1089	0.1212	6.602	6.7267	12.0756	3.9101	8.3156	10.878	0.2562	13.8237	2.8246	5.9545	4.7015	8.4286	26.0065
HIST3H2BB|128312	1.2881	0.5026	0.5756	0.4231	0.9017	0	0.6962	0.2415	0.7478	0.3806	0.2662	0.4949	0.0304	0.7977	0.0745	0.3551	0.8891	0.3282	2.0043
HIST3H3|8290	0.1711	0.1349	0	0.0467	0.2552	0	0.0782	0.164	0.0303	0.2845	0.0666	0.2632	0.1873	0.0485	0.0539	0.0659	0.0467	0.0913	0.0639
HIST4H4|121504	1.0018	0.3338	0.3432	0.1532	0.5856	0.3061	0.9368	0.7304	0.6644	0.2096	0.8411	1.5079	0.5585	1.0908	0.6645	0.336	0.474	0.9139	0.8904
HIVEP1|3096	5.2386	4.9258	5.5827	2.3628	5.0118	2.977	7.1583	4.3015	5.0918	7.9443	4.9682	15.971	3.4638	6.2149	7.2312	7.7959	11.7843	4.316	4.7512
HIVEP2|3097	12.3405	5.9674	5.2425	6.2579	6.2493	7.9315	8.1007	7.5121	8.1538	7.3182	5.4099	12.5206	9.7939	5.4887	15.366	10.2468	13.0455	12.187	3.1932
HIVEP3|59269	0.3141	5.1969	1.2363	0.092	0.7694	0.2597	1.7035	0.2476	0.8253	1.023	0.8168	4.2238	2.8717	0.8111	1.1975	2.4793	1.1747	2.1931	0.48
HJURP|55355	9.3029	3.1949	3.2857	5.6887	7.9216	3.4311	1.4828	3.2045	8.8328	11.2885	13.8657	9.9156	4.7485	7.1008	1.9249	4.8763	4.9648	2.5061	25.4232
HK1|3098	27.3227	99.156	69.7268	21.1849	18.6186	25.189	67.3556	27.5326	33.9414	15.4414	15.7125	46.0037	31.888	24.6973	37.1084	36.9969	37.1861	76.218	14.1109
HK2|3099	15.8238	26.8685	71.8658	12.1551	14.9512	60.5669	14.6467	3.4939	35.0553	17.1692	25.0052	18.2099	32.4719	28.8772	4.419	11.6977	24.9123	16.116	20.7645
HK3|3101	0.0971	0.243	0.9112	0.1356	0.3451	0.0608	0.1246	0.1221	0.7926	0.2167	0.1435	0.2034	0.2816	0.499	1.6392	0.3682	0.6654	0.2976	0.1014
HKDC1|80201	19.0164	3.8664	0.0217	1.8921	21.4488	0.4926	0.0362	32.4806	21.7477	73.8445	11.9881	0.0189	47.7604	21.5842	0.0068	11.5556	2.0089	0.0115	18.0336
HKR1|284459	6.0048	1.2735	0.7413	0.3807	1.7934	1.2246	2.257	3.3364	3.489	12.1407	2.711	2.8175	3.8691	5.0355	4.2126	3.9309	5.3462	3.1943	4.8428
HLA-A|3105	254.0262	409.4001	721.2264	204.3065	308.4528	17.8752	172.3359	929.2815	425.4963	622.0755	387.0501	120.1976	871.2636	247.5596	250.062	679.9545	204.6497	223.5936	393.0557
HLA-B|3106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-C|3107	433.7727	468.9556	1580.7392	257.5291	411.1557	36.5156	179.9285	1370.6849	828.8836	802.8635	451.035	86.8289	1345.4576	309.4623	339.7209	934.5784	317.8792	273.7166	401.9384
HLA-DMA|3108	24.6027	11.1838	13.6622	84.3951	43.6251	5.0092	7.6256	79.9266	28.8787	4.4402	62.2263	6.8738	37.9871	32.0722	20.254	44.4158	18.5401	4.6705	14.2434
HLA-DMB|3109	1.8016	3.9201	1.8264	9.1256	5.8475	0.5053	1.6025	9.5303	6.7305	1.181	9.0702	2.4094	6.5936	6.5723	4.1458	10.0377	6.1999	1.4377	2.0993
HLA-DOA|3111	1.6093	2.0473	0.52	0.2386	6.8841	0.2123	1.3324	2.358	7.4896	0.6775	0.6569	3.7451	2.9971	1.6775	1.9507	5.7055	4.357	0.8871	0.206
HLA-DOB|3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPA1|3113	20.9457	51.3377	40.3961	56.5804	117.4679	7.9243	35.3238	159.9766	93.4024	14.079	93.4595	28.4418	127.6001	55.6981	103.4644	124.9013	75.9173	26.957	12.8713
HLA-DPB1|3115	4.3823	10.7246	10.0906	11.0977	25.0808	2.1676	8.4677	26.2514	20.5881	3.8323	21.8354	6.9356	30.4964	12.8753	34.128	36.9523	19.457	6.1236	3.9935
HLA-DPB2|3116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQA1|3117	0.1111	5.4717	2.8881	14.2218	25.4721	1.2566	11.1071	7.8115	1.2905	0.2325	4.1268	0.3748	19.3684	0.5907	21.5238	34.3351	46.9581	3.5152	4.8681
HLA-DQA2|3118	1.97	5.8739	2.0223	0.7429	1.8458	1.7121	1.7798	3.483	21.6342	2.624	1.5265	8.0132	0.3574	11.8108	5.3203	14.8565	0.3569	3.4496	0.2893
HLA-DQB1|3119	3.8941	6.9219	8.2054	194.8774	121.8764	2.2051	18.245	85.6157	14.9862	2.2724	14.7448	6.1102	50.0985	9.6361	42.3913	32.1508	74.6036	9.7645	30.9344
HLA-DQB2|3120	1.3361	2.5951	2.0114	0.2641	0.7132	0.53	3.1553	1.5255	5.8032	1.1932	5.5425	3.3238	1.7221	2.9939	3.6599	5.0733	1.0869	1.793	0.046
HLA-DRA|3122	77.0843	134.7197	200.0142	643.9363	380.316	32.7898	97.5645	473.5371	352.9846	46.8898	552.8288	86.1578	494.1025	222.3112	379.3334	520.0273	275.0022	75.4682	76.26
HLA-DRB1|3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB5|3127	22.3264	22.749	35.9024	206.1544	184.9858	4.0818	20.479	115.9773	64.2871	6.631	172.1646	16.3368	146.6058	57.7571	130.7476	110.0593	103.2648	14.3077	19.4236
HLA-DRB6|3128	4.9325	3.3445	10.612	27.887	8.0596	0.9817	3.0198	30.4406	22.3404	2.218	14.4798	5.7195	14.7727	14.6617	1.254	7.6217	4.3664	2.6726	2.857
HLA-E|3133	187.3184	334.2275	514.2294	87.8077	166.2286	102.0965	169.736	453.4032	247.1976	155.0019	149.4313	89.3684	372.0021	172.7045	217.5504	288.2205	196.8004	139.301	142.9359
HLA-F|3134	16.0471	21.3675	61.2397	5.853	23.6808	0.7373	3.4116	62.7141	31.7782	46.4947	18.8442	3.3336	48.743	12.0011	7.0573	30.0306	10.2435	12.1205	11.712
HLA-G|3135	14.6541	9.8108	40.2248	3.8776	3.3931	0.6628	4.9458	22.7552	13.6269	18.6066	3.6061	1.5949	2.1716	6.6331	3.1331	7.5933	3.0024	7.9506	5.9421
HLA-H|3136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-J|3137	1.7425	1.9182	36.3212	1.3242	2.0368	0.0875	6.1101	38.9346	5.0737	25.1307	1.4114	0.8661	2.2377	1.8162	1.187	3.1725	0.891	2.844	2.7453
HLA-L|3139	3.3997	0.2078	13.6934	1.7286	0.6646	0.2034	1.4409	1.4797	5.1613	1.7674	0.6894	0.8357	0.8829	3.3685	1.2164	0.3752	0.9618	3.2457	5.8122
