TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
TRAPPC2P1|10597	297.0184	376.1099	130.3518	139.5407	46.8245	239.4243
TRAPPC2|6399	404.1639	484.1954	314.2256	430.4878	157.4625	406.7982
TRAPPC3|27095	890.0774	719.8276	795.5151	716.2602	950.3632	973.136
TRAPPC4|51399	1127.304	1313.2184	982.4807	1142.2764	851.4149	668.3114
TRAPPC5|126003	497.7557	956.8966	672.4597	788.2114	656.8058	3183.114
TRAPPC6A|79090	742.6225	785.2011	385.7043	415.0407	134.4512	186.4035
TRAPPC6B|122553	1315.2516	1083.3333	1578.1359	1513.4146	284.6816	652.9605
TRAPPC9|83696	1563.1745	1433.1897	776.7344	2921.9512	457.9232	884.8684
TRAT1|50852	4.5841	1.0776	0	6.5041	13.478	2.7412
TRDMT1|1787	87.0977	37.7155	57.1829	50	278.107	70.1754
TRDN|10345	6.4941	6.4655	8.6896	3.6585	0	25.2193
TREH|11181	0	0	0.2803	0	0	0
TREM1|54210	4.9661	2.8736	5.0456	3.6585	34.8456	303.1798
TREM2|54209	229.9685	105.2443	31.3945	195.5285	141.3546	1820.1754
TREML1|340205	1.91	0.3592	0	0.813	1.6437	8.2237
TREML2P1|221438	0	0	0	0	0	0
TREML2|79865	7.6401	1.796	0	3.6585	4.2735	14.2544
TREML3|340206	0.382	0.7184	0	2.439	2.9586	16.9956
TREML4|285852	0	0	0.2803	0.813	0.9862	9.3202
TRERF1|55809	48.5149	22.9885	15.9776	32.1138	95.6609	271.9298
TREX1|11277	220.2617	286.9899	808.0224	301.0691	119.014	976.9682
TREX2|11219	2.6741	3.2328	3.0834	19.5122	1.6995	2.6316
TRHDE|29953	530.4708	2075	1.9622	830.0163	58.031	15.3509
TRHR|7201	0	0	0	0	0	0
TRH|7200	0	0	0	0	0	2.7412
TRIAP1|51499	346.8628	392.6006	350.3854	228.4553	419.4616	453.3991
TRIB1|10221	1587.241	1397.9885	863.3497	5537.3984	1072.6513	707.2368
TRIB2|28951	718.556	255.3879	186.405	715.0407	561.8024	1508.7719
TRIB3|57761	667.367	3908.046	1590.7498	3121.5447	1355.0318	3259.3202
TRIL|9865	127.5905	49.9282	76.5242	166.2602	120.9732	140.3509
TRIM10|10107	0	0	0.2803	0.4065	1.9724	0
TRIM11|81559	368.2552	232.0402	342.5368	486.9919	920.1199	783.9912
TRIM13|10206	311.6837	297.5036	356.3055	329.6057	462.2131	226.4364
TRIM14|9830	459.173	244.2529	50.1752	365.0407	675.2148	746.2993
TRIM15|89870	0	0	0	0	0	2.193
TRIM16L|147166	63.2261	95.6358	89.4604	101.6992	152.4066	66.9298
TRIM16|10626	225.7664	143.319	278.0463	319.6341	470.7437	330.9539
TRIM17|51127	1.528	0.7184	3.3637	29.2683	2.6299	6.5789
TRIM21|6737	467.5771	296.3362	304.9755	235.7724	178.1725	346.4912
TRIM22|10346	290.7077	127.1552	113.5249	284.5528	1064.7618	231.3542
TRIM23|373	315.5382	359.5546	281.1493	497.9675	371.4668	531.7982
TRIM24|8805	903.8296	459.7701	1085.9145	855.2846	530.5729	771.3816
TRIM25|7706	592.1115	536.2787	613.595	586.9919	1009.2061	1057.5658
TRIM26|7726	1102.0915	817.5287	937.6314	1677.2358	896.1224	627.7412
TRIM27|5987	802.9797	647.6293	801.4015	1376.4228	1428.6677	898.5746
TRIM28|10155	3336.8351	4991.0201	2481.0091	4171.5447	6178.8399	6827.8509
TRIM29|23650	3.0561	0	3.644	2.8455	0.9862	14.8026
TRIM2|23321	12022.1564	9942.1695	22084.6531	6639.0244	107.4952	599.2325
TRIM31|11074	0.764	0.3592	0.5606	0.813	0.3287	1.0965
TRIM32|22954	650.9407	748.9224	184.4429	344.3089	461.5392	325.1096
TRIM33|51592	828.5742	773.7069	1376.3139	843.0894	911.2441	594.8465
TRIM34|53840	115.3662	31.9684	47.0918	39.4309	35.503	72.9167
TRIM35|23087	776.2391	491.0201	424.9474	652.0325	1040.1069	588.2675
TRIM36|55521	34.7627	5.3879	12.3336	14.2276	320.8421	54.8246
TRIM37|4591	399.2054	444.7522	436.4793	290.5366	585.1851	404.2708
TRIM38|10475	343.0427	280.1724	387.3861	334.5528	662.723	423.7939
TRIM39|56658	223.4705	247.3491	271.0806	395.5203	383.8566	323.0318
TRIM3|10612	142.4888	89.0805	63.63	78.0488	239.6454	652.4123
TRIM40|135644	0	0	0	0	0	0
TRIM41|90933	1484.2785	682.8915	1444.4289	1661.2561	839.7844	1373.6897
TRIM42|287015	1.528	0	0	0.4065	0	0
TRIM43|129868	0	0	0	0	0	0
TRIM44|54765	2082.7046	2569.6839	2604.9054	513.0081	1357.9904	589.9123
TRIM45|80263	69.5254	112.7874	64.4709	83.3333	27.6135	258.7719
TRIM46|80128	1.146	0.7184	3.3637	4.065	21.3676	200.1096
TRIM47|91107	629.1663	822.1983	485.494	934.9593	1011.5073	2345.3947
TRIM48|79097	0	0	0	0	0	0
TRIM49L|729384	0	0	0	2.0325	0	0
TRIM49|57093	1.146	0	0	0	0	1.6447
TRIM4|89122	604.7178	27.658	711.1423	1337.3984	1338.5952	672.1491
TRIM50|135892	4014.8983	7302.8017	140.9951	4171.5447	0.3287	34.5395
TRIM52|84851	262.0571	277.2989	169.3062	224.7967	99.6057	580.5921
TRIM53|642569	0	0	0	0	0	0
TRIM54|57159	0.382	0.3592	0	0.813	0	6.5789
TRIM55|84675	0	3.9511	22.4247	53.6585	381.6574	0.5482
TRIM56|81844	657.8168	584.7701	1189.068	1078.8618	638.3968	93.75
TRIM58|25893	4.5841	1.0776	2.5228	10.1626	358.4424	56.4693
TRIM59|286827	197.8799	76.1458	231.7701	47.8008	111.1639	292.1546
TRIM5|85363	255.3414	216.9648	380.8998	245.7927	317.3542	472.1053
TRIM6-TRIM34|445372	0	0	0	0	0	0
TRIM60|166655	0	0	0	0	0	0.5482
TRIM61|391712	0.382	0	57.1829	0.813	0	1.0965
TRIM62|55223	158.9151	82.2557	199.5795	158.1301	219.5927	326.2061
TRIM63|84676	0.382	0.3592	0	0.4065	0	88.8158
TRIM64|120146	0	0	0	0	0	0
TRIM65|201292	252.5069	395.4741	190.89	200	812.6246	1132.1272
TRIM66|9866	98.1759	74.3534	234.8984	120.3252	109.7964	119.5175
TRIM67|440730	1.528	1.4368	1.1212	4.4715	1.9724	875
TRIM68|55128	1084.9012	245.6897	1303.7141	460.5691	167.3244	239.0351
TRIM69|140691	33.8611	25.0826	21.8753	58.7683	3.2873	7.1272
TRIM6|117854	184.1276	3.2328	12.3336	123.9837	22.025	70.1754
TRIM71|131405	0	0	0	0.4065	0.3287	0
TRIM72|493829	0	0	0	0	0	0
TRIM74|378108	46.2229	75.0718	1.4015	51.2195	0.3287	0
TRIM77|390231	0	0	0	0	0	0
TRIM78P|117852	7.0977	3.222	2.2817	2.9878	5.1315	4.3202
TRIM7|81786	124.1524	56.3937	19.9019	164.6341	259.0405	128.2895
TRIM8|81603	3511.4125	1705.4598	3094.6041	5258.5366	5166.3464	2547.6974
TRIM9|114088	8.0222	1.0776	17.3791	56.0976	8.8758	235.7456
TRIML1|339976	0	0	0	0	0	0
TRIML2|205860	0	0	1.1212	0.4065	0	16.4474
TRIOBP|11078	1592.5891	1220.0754	2099.7898	2731.3008	2486.5261	2367.3246
TRIO|7204	1212.4916	761.4943	539.0329	1359.7561	4329.3957	2377.7412
TRIP10|9322	173.0494	330.4598	331.6048	441.4634	5580.5483	2998.9035
TRIP11|9321	1564.3205	425.6466	2509.3203	934.5528	857.3321	280.1535
TRIP12|9320	2487.2505	2035.9195	2194.8143	1460.1626	3097.967	852.5219
TRIP13|9319	105.8161	107.0402	102.8732	57.7236	543.3934	519.7368
TRIP4|9325	574.1572	622.8448	2133.9874	633.3333	309.6652	351.4254
TRIP6|7205	124.5344	59.2672	44.0084	299.5935	2864.5675	2004.386
TRIT1|54802	107.7261	195.4023	254.8003	246.3415	266.2726	589.364
TRMT112|51504	1355.3624	3800.6466	1499.089	2200.813	2476.0067	6050.9868
TRMT11|60487	197.8799	250.7184	179.6776	229.2683	171.9266	115.1316
TRMT12|55039	288.4156	317.5287	223.1254	359.3496	375.0828	199.5614
TRMT1|55621	432.0504	1030.1724	522.7751	675.6098	1390.5348	1991.2281
TRMT2A|27037	315.5382	544.5402	434.4779	659.7561	944.446	2026.3158
TRMT2B|79979	781.2052	1204.023	893.9033	786.1789	159.1061	228.0702
TRMT5|57570	437.0165	552.8017	475.9636	338.6179	448.0612	356.3596
TRMT61A|115708	573.3932	224.1379	438.6826	1084.5528	487.8378	1873.3553
TRMT61B|55006	284.6872	312.4605	203.2095	147.9837	417.1736	329.2873
TRMT6|51605	213.9242	558.1897	439.8038	174.7967	712.0327	322.3684
TRMU|55687	307.516	240.3017	778.4163	969.1057	374.0966	626.6447
TRNAU1AP|54952	103.906	75.7902	49.8949	65.0407	247.8637	365.1316
TRNP1|388610	393.8497	602.3707	297.1268	1017.0732	1434.2561	187.5
TRNT1|51095	533.0723	375.2155	572.3672	218.8089	350.6416	305.2577
TROAP|10024	104.288	100.9339	190.6097	112.6016	283.3667	921.6009
TROVE2|6738	504.4638	349.9892	511.2011	540.5854	1169.2984	781.1952
TRO|7216	12.6062	85.1293	12.0533	20.7317	224.5237	495.0658
TRPA1|8989	0	0	0.2803	0	4.2834	3.3169
TRPC1|7220	65.7053	7.5431	22.4247	23.5772	866.5366	247.807
TRPC2|7221	0.764	0	0	0.813	0.3287	9.3202
TRPC3|7222	179.5435	140.8046	1095.7253	282.5203	0	0.5482
TRPC4AP|26133	1786.2668	2174.9282	2035.3189	1404.4715	3940.5061	3944.0789
TRPC4|7223	4.9661	5.0287	3.3637	6.9106	178.1725	0.5482
TRPC5|7224	0	0	0	0	0	0
TRPC6|7225	50.425	15.8046	42.6069	23.5772	18.409	3.8377
TRPC7|57113	0.382	0	0.2803	0	0	0
TRPM1|4308	0	0.3592	0	0.4065	0	1.0965
TRPM2|7226	189.4757	44.181	12.0533	139.4309	362.9197	1037.8289
TRPM3|80036	0.764	0	0.2803	1.626	0.6575	6.0307
TRPM4|54795	1849.6801	820.7615	750.6657	786.9919	663.0517	806.4693
TRPM5|29850	0.764	0	0.5606	0	0.3287	4.386
TRPM6|140803	17.5723	6.1063	2.8031	5.6911	1.6437	1.6447
TRPM7|54822	2053.29	2228.8075	1860.4064	1476.4228	881.0008	665.0219
TRPM8|79054	2.6741	0.3592	0.5606	1.2195	3.616	42.2149
TRPS1|7227	318.2122	17.2414	692.9222	391.4634	1418.1483	595.943
TRPT1|83707	986.7252	1021.1925	807.288	830.4878	425.05	961.6228
TRPV1|7442	24.4485	42.3851	45.1296	123.2764	99.277	144.1886
TRPV2|51393	186.0376	89.7989	57.7435	128.4553	1896.4528	362.9386
TRPV3|162514	0	0	0.2803	1.626	35.1743	3.7171
TRPV4|59341	1571.5786	175.2874	3.0834	946.748	14.4642	213.8158
TRPV5|56302	0	0	0	1.626	0.3287	8.7719
TRPV6|55503	90.1538	89.0805	105.9566	245.5285	3.2873	270.8333
TRRAP|8295	3137.3202	2245.3736	4767.7505	3166.9919	2433.7943	1802.5164
TRUB1|142940	772.8011	1003.2328	1217.0988	589.4309	669.2976	174.8904
TRUB2|26995	1224.3339	1067.8879	1088.9979	560.5691	507.5616	591.0088
TRY6|154754	0.382	1.4368	1.9622	0.813	0.3287	0
TRYX3|136541	0	0	0	0	0	0
TSC1|7248	840.7984	963.0029	1165.8024	957.7236	652.861	207.2368
TSC22D1|8848	4370.1652	1014.0086	1992.712	2058.1301	1655.4925	1519.1886
TSC22D2|9819	985.9612	804.9569	1066.0126	873.9837	691.9801	494.5175
TSC22D3|1831	1792.379	637.5718	1239.8038	11089.0244	1378.043	4703.9474
TSC22D4|81628	2452.4878	1805.3161	2884.9334	5131.7073	1039.4494	2845.3947
TSC2|7249	1109.7316	1480.6034	1379.6776	2662.1951	2438.2026	1683.6623
TSEN15|116461	410.658	337.2845	541.836	313.0081	522.3546	668.8596
TSEN2|80746	98.9399	161.2787	137.3511	71.9512	205.786	184.7588
TSEN34|79042	726.5782	730.6034	541.2754	454.878	915.8463	1215.4605
TSEN54|283989	344.1887	850.5747	274.9825	521.9512	472.7161	897.4781
TSFM|10102	1512.3675	1328.6638	1216.2579	1410.9756	521.3684	575.6579
TSG101|7251	2561.742	3036.9971	2787.9467	1473.5772	1332.0206	1528.5088
TSG1|643432	0	0	0	0	0	0
TSGA10IP|254187	0.382	0	0.2803	0.813	0	4.386
TSGA10|80705	93.2098	96.2644	98.9488	62.1951	11.5056	32.8947
TSGA13|114960	0	0	0	1.2195	0	2.193
TSGA14|95681	258.619	284.842	598.7386	661.7886	288.2976	367.8728
TSHB|7252	0	0	0	0	0	0
TSHR|7253	1.146	0.7184	7.5683	0.813	0.3287	1.6447
TSHZ1|10194	342.2787	491.3793	290.9601	786.5854	435.8982	454.4956
TSHZ2|128553	10.3142	2.5144	1.4015	2.8455	37.1467	209.4298
TSHZ3|57616	187.9477	22.2701	74.8423	36.5854	723.8671	694.0789
TSIX|9383	3.4342	0	0.5606	1.1098	0	27.4781
TSKS|60385	0.382	0	0	0.813	0.3287	3.2895
TSKU|25987	737.2744	288.0747	1086.1948	1460.5691	268.9025	13024.6711
TSLP|85480	1.146	2.5144	3.3637	1.626	0.6575	70.1754
TSNARE1|203062	372.4573	274.4253	236.0196	1265.0407	418.8041	241.2281
TSNAX-DISC1|100303453	0	0.5496	0	0.9593	1.0388	1.0197
TSNAXIP1|55815	6.4941	0.7184	2.5228	4.4715	8.2183	60.8553
TSNAX|7257	774.3291	980.5603	900.911	492.1016	924.8963	546.9956
TSN|7247	1196.4473	1152.2989	1212.6139	841.4634	2607.8281	1557.0175
TSPAN10|83882	79.0755	4.3103	35.0385	27.6423	274.8196	270.2851
TSPAN11|441631	144.0168	11.1351	27.1899	23.1707	167.9819	257.1272
TSPAN12|23554	2972.782	126.0776	781.2193	904.878	162.3934	34.5395
TSPAN13|27075	1086.0472	201.1494	427.1899	744.7154	792.2432	626.0965
TSPAN14|81619	5379.0469	4202.9454	5412.1934	5724.7967	1880.345	1699.0132
TSPAN15|23555	301.7859	145.4741	355.7113	498.7805	141.0259	442.4342
TSPAN16|26526	0	0	0	0	0	0
TSPAN17|26262	1928.3736	1098.0603	922.4947	2728.0488	1259.6996	1963.2675
TSPAN18|90139	388.5016	113.1466	156.9727	186.1789	296.5159	482.4561
TSPAN19|144448	0	0	0	0	0	2.7412
TSPAN1|10103	1020.3419	113.5057	1439.9439	1815.0407	346.1544	30.7018
TSPAN2|10100	12.9883	8.2615	1.9622	5.6911	48.6523	5.4825
TSPAN31|6302	2003.2471	2719.4684	1922.3546	2336.9919	964.8274	926.5351
TSPAN32|10077	4.9661	1.796	0.2803	8.1301	124.5893	8.7719
TSPAN33|340348	3040.7793	2520.8333	477.3651	9256.5041	248.1924	794.4079
TSPAN3|10099	6952.9176	3694.3247	2377.8556	5944.3089	2616.0464	4208.3333
TSPAN4|7106	367.1092	539.5115	64.4709	393.4959	1453.6513	3153.5088
TSPAN5|10098	2471.5882	2172.773	412.3336	211.3821	22.025	83.8816
TSPAN6|7105	743.0045	502.8736	754.59	856.0976	613.0845	423.7939
TSPAN7|7102	8182.5996	4707.9741	703.5739	3508.9431	30.572	40.5702
TSPAN8|7103	0	0	0.2803	0	14.1355	117.3246
TSPAN9|10867	8298.7298	5093.3908	5564.4008	3826.8293	1094.6764	1612.9386
TSPO2|222642	0	0.3592	0	0.813	0	1.0965
TSPO|706	1466.5266	1776.9397	1584.8633	3447.561	4914.538	1623.9035
TSPY1|7258	0	0	0	0	0	16.9956
TSPY2|64591	0	0	0	0	0	9.8684
TSPY3|728137	0	0	0	0	0	3.2895
TSPY4|728395	0	0	0	0	0	64.1447
TSPYL1|7259	4948.7613	2582.8053	2695.0554	1790.4553	1309.1113	440.4057
TSPYL2|64061	619.2341	626.796	559.4954	653.252	181.4599	841.557
TSPYL3|128854	71.8174	32.3276	70.6377	26.0163	3.2873	3.8377
TSPYL4|23270	815.2039	869.6121	703.2936	677.6423	331.3615	369.5175
TSPYL5|85453	83.2776	14.3678	21.0231	3263.8211	44.3788	88.8158
TSPYL6|388951	0.764	0	1.1212	0.813	0.3287	0
TSR1|55720	625.4532	803.2974	860.0953	558.9837	1960.5621	1081.3377
TSR2|90121	3086.2382	2154.454	1686.0547	2344.7154	464.8265	1038.9254
TSSC1|7260	510.362	348.0603	467.5543	550.813	681.4607	631.0307
TSSC4|10078	861.0448	1073.2759	830.5536	792.6829	526.6281	2081.1404
TSSK1B|83942	1.146	0.7184	2.2425	0.4065	0.6575	4.386
TSSK2|23617	0	0	0	0	0	0
TSSK3|81629	4.118	4.8958	4.0056	16.7927	10.4471	19.3969
TSSK4|283629	9.1682	19.0374	8.1289	11.3821	4.6022	8.2237
TSSK6|83983	51.953	82.6149	79.6076	76.4228	43.7213	29.6053
TSTA3|7264	1294.2412	1029.8132	418.22	1818.6992	1622.2906	1223.6842
TSTD1|100131187	373.2022	432.1085	328.4961	530.4878	300.4607	37.2807
TSTD2|158427	795.0415	534.9533	827.2796	412.4024	297.4791	209.7423
TST|7263	806.0357	667.3851	722.3546	876.0163	573.9654	375.5482
TTBK1|84630	6.8761	1.796	1.1212	0.813	0.9862	0
TTBK2|146057	255.181	302.0833	424.1065	162.1951	257.3969	52.6316
TTC12|54970	247.9228	128.592	470.918	132.5203	199.8688	51.5351
TTC13|79573	70.6714	75.7902	116.0477	51.2195	320.8421	236.8421
TTC14|151613	657.4348	505.7471	516.328	462.1951	488.8239	532.8947
TTC15|51112	735.3643	477.3707	489.4184	645.5285	1107.4969	980.2632
TTC16|158248	4.9661	9.3391	2.5228	6.5041	2.3011	1.6447
TTC17|55761	1673.9566	2766.523	2272.74	2416.6667	1292.2441	570.7237
TTC18|118491	35.9851	25.5639	36.2102	56.2236	8.238	17.2533
TTC19|54902	1299.15	1266.9864	1334.5368	1178.3699	770.2149	568.9035
TTC1|7265	1603.2853	1428.5201	1311.5627	1115.0407	920.1199	1827.8509
TTC21A|199223	16.4263	21.5517	43.4478	27.2358	33.2019	181.4693
TTC21B|79809	214.6882	248.5632	256.7624	176.8293	523.9949	199.5614
TTC22|55001	19.8644	0	15.9776	56.5041	1.6437	1.0965
TTC23L|153657	0.764	5.7471	2.2425	5.6911	0.3287	16.9956
TTC23|64927	451.1508	432.1121	476.5242	463.8211	226.8248	633.2237
TTC24|164118	1.146	0	0	0.4065	2.6299	0
TTC25|83538	2.6741	23.7069	11.4926	9.7561	0.9862	58.6623
TTC26|79989	69.1433	86.2069	75.4029	54.065	158.4486	82.2368
TTC27|55622	177.2515	255.3879	186.9657	139.0244	698.5547	296.6009
TTC28|23331	263.9289	186.8894	486.8311	299.0488	900.8956	534.6272
TTC29|83894	0	0	0	0	0	0.5482
TTC30A|92104	187.1837	202.9454	306.6573	60.1626	107.824	164.4737
TTC30B|150737	54.6271	61.7816	105.6762	20.3252	125.9042	64.693
TTC31|64427	311.7181	243.1753	229.8528	232.1138	743.2622	877.7412
TTC32|130502	36.6727	84.4109	49.054	30.4878	29.5858	186.9518
TTC33|23548	608.1559	609.1954	477.3651	484.9593	430.6384	368.4211
TTC35|9694	1176.5829	1549.9282	4526.4191	2130.8943	1048.9827	328.3991
TTC36|143941	2.292	3.2328	26.349	4.4715	0	0
TTC37|9652	1940.9798	2978.4483	1636.4401	1289.4309	2643.9886	488.4868
TTC38|55020	438.9266	779.8132	1089.5585	1114.6341	843.1967	535.636
TTC39A|22996	534.0464	491.3793	489.979	1112.1951	17.7515	21.9298
TTC39B|158219	901.9196	356.3218	770.8479	209.3496	65.7463	19.1886
TTC39C|125488	30.5606	42.0259	39.2432	23.9837	259.3693	466.557
TTC3|7267	3368.9237	4085.4885	5439.103	1904.878	5695.6044	2601.4254
TTC4|7268	286.8609	284.7809	259.5655	308.1545	463.5116	738.761
TTC5|91875	296.0558	283.4052	301.3315	229.2683	159.4348	196.2719
TTC7A|57217	782.5423	322.1983	775.8514	1327.5772	2328.0807	1290.5044
TTC7B|145567	1768.6945	470.9052	1366.5032	1526.4228	1055.886	504.386
TTC8|123016	302.1679	67.5287	375.6132	271.9512	346.8119	263.1579
TTC9B|148014	1.146	0	0	0	0	1.0965
TTC9C|283237	324.3243	389.3678	344.4989	316.2602	586.4572	399.6711
TTC9|23508	250.9789	399.7845	159.2151	673.1707	30.572	6.0307
TTF1|7270	258.619	329.7414	325.7183	128.4553	248.8499	157.3465
TTF2|8458	380.4794	303.8793	329.3623	250.813	298.8171	261.5132
TTK|7272	214.6882	127.1552	200.9811	30.8943	236.6868	250.5482
TTLL10|254173	1.91	0	0.2803	3.252	0.3287	1.0965
TTLL11|158135	72.5814	44.8994	53.5389	42.2764	29.5858	39.4737
TTLL12|23170	272.3713	286.6379	719.5515	908.1301	2305.0662	736.8421
TTLL13|440307	10.3066	23.6853	21.239	7.9512	0.4175	18.0099
TTLL1|25809	99.3219	184.2672	187.246	129.2683	266.9301	110.7456
TTLL2|83887	0.382	0	0	0	0.3287	0
TTLL3|26140	303.6959	286.8211	124.0364	241.748	357.3576	860.6469
TTLL4|9654	107.3441	90.158	69.5165	117.0732	418.8041	247.2588
TTLL5|23093	518.3841	440.7328	622.2845	446.748	389.8757	530.7018
TTLL6|284076	13.3703	24.7845	1.4015	97.1545	5.9172	10.4167
TTLL7|79739	4.9661	1.0776	2.5228	0.4065	4.2735	127.7412
TTLL8|164714	0	0.3592	0	0	0	0
TTLL9|164395	20.2464	6.4655	35.8795	6.9106	4.931	11.5132
TTL|150465	1263.2986	772.6293	1352.4877	1282.9268	2767.9204	1233.5526
TTN|7273	47.4568	89.5474	523.1198	94.874	111.5419	160.148
TTPAL|79183	304.4599	346.9828	738.0519	329.6748	1320.1863	2432.0175
TTPA|7274	1.146	4.3103	0	0.4065	0	0
TTR|7276	407.984	280.1724	129.2221	6.5041	0.6575	0
TTTY10|246119	0	0	0	0.4065	0.3287	0
TTTY11|83866	0	0	0	0	0	0
TTTY12|83867	0	0	0	0	0	0
TTTY13|83868	0	0	0	0	0	0
TTTY14|83869	0	0.3592	4.4849	0	0.6575	6.5789
TTTY15|64595	0.382	5.7471	97.5473	6.9106	14.4642	49.8904
TTTY16|252948	0	0	0	0	0	0
TTTY17A|252949	0	0	0	0	0	0
TTTY17B|474151	0	0	0	0	0	0
TTTY18|252950	0	0	0	0	0	0
TTTY19|252952	0	0	0	0	0	0
TTTY1B|100101116	0	0	0	0	0	0
TTTY20|252951	0	0	0	0	0	0
TTTY21|252953	0	0	0	0	0	0
TTTY22|252954	0	0	0	0	0	0
TTTY23|252955	0	0	0	0	0	0
TTTY2|60439	0	0	0	0	0	0
TTTY3B|474148	0	0	0	0	0	0
TTTY4C|474150	0	0	0	0	0	0
TTTY5|83863	0	0	0	0	0	0
TTTY6B|441543	0	0	0	0	0	0
TTTY6|84672	0	0	0	0	0	0
TTTY7|246122	0	0	0	0	0	0
TTTY8|84673	0	0	0	0	0	0
TTTY9B|425057	0	0	0	0	0	0
TTYH1|57348	2.292	1.0776	2.8031	8.9431	0.9862	13.1579
TTYH2|94015	88.8091	51.25	102.2845	115.1057	88.9219	177.9276
TTYH3|80727	934.7722	358.8362	222.2845	1114.2276	3093.6934	21844.2982
TUBA1A|7846	1543.6921	487.6185	646.4639	1009.3496	3632.4846	7937.0998
TUBA1B|10376	26681.1307	18881.444	16266.4723	26901.5813	20693.9886	42851.2774
TUBA1C|84790	6290.5167	4238.028	6018.7807	6199.5935	7605.5352	15820.7237
TUBA3C|7278	0	0	0	0.4065	0	1601.4254
TUBA3D|113457	0.764	0.7184	0	0.813	0.9862	8.2237
TUBA3E|112714	0	0	0	0	1.3149	26.864
TUBA4A|7277	3014.0388	2897.2701	1729.2221	1378.4553	1208.7462	334.4298
TUBA4B|80086	0.382	0	0	0	2.3011	0.5482
TUBA8|51807	15.6852	15.4454	10.8143	53.1138	18.7377	28.5088
TUBAL3|79861	0.382	0	0	0	0	1.0965
TUBB1|81027	11.0782	17.9598	14.2957	9.7561	15.1217	16.4474
TUBB2A|7280	922.166	98.0603	247.7926	1858.5366	1084.1569	2600.3289
TUBB2B|347733	99.7039	19.0374	74.2817	595.935	106.1803	320.7237
TUBB2C|10383	17584.1849	6725.2155	12773.651	5099.187	3251.4846	5155.7018
TUBB3|10381	345.6594	74.2277	703.1254	1826.252	4138.2152	2102.2752
TUBB4Q|56604	2.292	1.0776	0.2803	2.439	0	1.6447
TUBB4|10382	154.331	24.0661	43.4478	87.8049	59.5004	162.8289
TUBB6|84617	684.1066	547.4569	502.8563	964.6504	5292.6648	6593.2072
TUBB8|347688	12.6062	2.5144	20.7428	6.5041	1.9724	2.7412
TUBBP5|643224	35.5267	5.3879	3.3637	53.6585	0.3287	2.193
TUBB|203068	7110.6867	4181.3937	4751.2263	3800	43888.3036	24769.1886
TUBD1|51174	33.6167	48.8506	42.0463	32.1138	74.2934	110.1974
TUBE1|51175	171.5213	272.9885	286.1948	417.4797	192.6367	121.7105
TUBG1|7283	807.1817	724.4971	625.0876	439.8374	1209.075	1707.2368
TUBG2|27175	319.7402	204.7414	259.5655	288.2114	370.4806	588.8158
TUBGCP2|10844	1371.0247	1159.7665	1248.7316	1476.4959	2098.3138	1153.8706
TUBGCP3|10426	229.9685	181.7529	178.2761	203.6585	489.8101	229.1667
TUBGCP4|27229	496.2277	534.842	419.9019	291.4634	235.0431	65.2412
TUBGCP5|114791	657.0528	448.9943	711.1423	543.0894	232.0845	230.8114
TUBGCP6|85378	615.414	913.7931	1108.3392	1102.0325	1033.2035	622.2588
TUB|7275	340.7506	740.3017	1354.7302	692.6829	11.8343	167.2149
TUFM|7284	5149.8424	7800.2874	6836.4401	10607.3171	4182.7814	5565.2412
TUFT1|7286	604.7178	1543.8218	486.0547	1575.6098	768.5746	337.1711
TUG1|55000	2624.7732	2274.7845	4664.6111	3793.4959	3114.4035	2152.9605
TULP1|7287	0	0	0	1.2195	1.6437	32.8947
TULP2|7288	0	0	0	0	0	1.0965
TULP3|7289	252.8889	450.7902	296.5662	302.0325	1226.8265	871.7105
TULP4|56995	87.0977	181.3937	279.4674	567.8862	644.6427	379.9342
TUSC1|286319	1043.6444	1047.773	673.8612	1186.9919	207.1009	402.4123
TUSC2|11334	1450.1003	1367.4569	751.2263	955.2846	376.7265	1438.5965
TUSC3|7991	945.8504	113.8649	225.6482	80.8943	2716.967	834.4298
TUSC5|286753	2.292	0	0	0.813	0	0
TUT1|64852	598.2237	603.4483	675.2628	769.1057	421.1052	875.5482
TWF1|5756	8275.0454	3636.8534	5256.9026	2997.9675	6077.2618	1648.0263
TWF2|11344	1085.1647	1066.092	620.6531	1174.5894	1673.3788	4021.25
TWIST1|7291	5.3481	2.8736	3.0834	5.2846	7.5608	9134.3202
TWIST2|117581	0.382	0	0	0	121.302	165.5702
TWISTNB|221830	607.7739	719.1092	720.1121	518.2927	640.698	617.8728
TWSG1|57045	1296.5333	1107.7586	3175.8935	933.7398	3124.5942	1355.2632
TXK|7294	47.7509	11.8534	336.6503	39.8374	14.4642	10.4167
TXLNA|200081	1888.2628	1316.4511	1374.0715	1547.561	1753.4546	4362.3904
TXLNB|167838	19.4824	2.1552	14.8563	10.5691	4.6022	21.9298
TXLNG|55787	136.3767	179.2385	188.3672	106.5041	201.8412	29.6053
TXN2|25828	2113.2652	3083.3333	3352.4877	2815.8537	1951.0223	3654.6053
TXNDC11|51061	1369.8787	2014.3678	2067.274	3277.2358	521.0396	1224.2325
